Marybe SRL,,,,,,
Pellegrini 141,,,CTRL+R  Genera Revisar,,,
200726 1005,,,CTRL+N  Hoja Ofertas,,,
,,,CTRL+P  Copia Pedido,,,
,, ,,,,
Codigo,Descripcion,MARCA,Rubro,Proveedor,Publico,Oferta
8435415105309,GAULTIER DIVINE ELIXIR PARFUM X 50 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"230.800,00",
8411061056776,GOOD GIRL BLUSH EDP X 30 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"190.000,00",
8411061056769,GOOD GIRL BLUSH EDP X 50 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"240.000,00",
8411061056752,GOOD GIRL BLUSH EDP X 80,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"295.000,00",
8411061083673,GOOD GIRL BLUSH ELIXIR EDP X 30 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"190.000,00","133.000,00"
8411061083666,GOOD GIRL BLUSH ELIXIR EDP X 50 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"240.000,00","168.000,00"
8411061083659,GOOD GIRL BLUSH ELIXIR EDP X 80 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"295.000,00",
8411061092637,GOOD GIRL BLUSH ELIXIR EDP X 80 ml + BODY LOTION,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"295.000,00",
8411061097922,GOOD GIRL BLUSH EDP X 150 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"607.000,00","364.200,00"
8411061026335,GOOD GIRL EDP X 150 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"551.600,00","330.960,00"
8411061041673,GOOD GIRL EDP X 30 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"185.000,00",
8411061026250,GOOD GIRL EDP X 50 ml,Carolina Herrera,FRAG IMP UNISEX,PUIG ARGENTINA SA (SELE),"234.000,00",
8411061026342,GOOD GIRL EDP X 80 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"280.600,00",
8411061106204,GOOD GIRL VERY ELIXIR EDP X 30 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"190.000,00",
8411061106211,GOOD GIRL VERY ELIXIR EDP X 50 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"240.000,00",
8411061106228,GOOD GIRL VERY ELIXIR EDP X 80 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"295.000,00",
8411061081600,HERRERA FOR MEN EDT X 100 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"248.000,00",
3349668515660,INVICTUS EDT X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"232.700,00",
3349668589678,INVICTUS EDT X 200 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"444.900,00","266.940,00"
3349668515653,INVICTUS EDT X 50 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"198.000,00",
3349668664733,INVICTUS ELIXIR PARFUM X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"285.000,00",
3349668627530,INVICTUS PARFUM X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"267.000,00",
3349668627547,INVICTUS PARFUM X 200 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"512.100,00","307.260,00"
3349668627523,INVICTUS PARFUM X 50 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"227.000,00",
3349668592388,INVICTUS VICTORY EDP EXTREME X 200 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"512.100,00","307.260,00"
3349668588732,INVICTUS VICTORY EDP EXTREME X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"267.000,00",
3349668588749,INVICTUS VICTORY EDP EXTREME X 50 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"227.000,00",
3349668614530,INVICTUS VICTORY ELIXIR PARFUM X 200 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"534.100,00","320.460,00"
3349668614523,INVICTUS VICTORY ELIXIR PARFUM X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"279.400,00",
3349668666850,INVICTUS VICTORY ELIXIR PARFUM X 100 ml + TUBO X 10 ml + DESODORANTE,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"282.000,00",
3349668614516,INVICTUS VICTORY ELIXIR PARFUM X 50 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"238.000,00",
8435415116565,LE MALE ELIXIR ABSOLU PARFUM INTENSE X 125 ml + GEL DUCHA,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"322.600,00",
8435415116572,LE MALE ELIXIR PARFUM X 125 ml + GEL DUCHA,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"292.999,50",
8435415113168,LE MALE ELIXIR PARFUM X 125 ml + TUBO X 10 ml + GEL DUCHA,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"293.000,00",
8435415113175,LE MALE ELIXIR PARFUM X 200 ml + TUBO X 10 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"555.000,00","333.000,00"
8435415100496,SCANDAL WOMAN EDP X 50 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"225.004,08",
8435415113250,SCANDAL POUR HOMME EDT X 100 ml + TUBO X 10 ml + GEL DUCHA,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"255.000,00",
8435415102728,SCANDAL POUR HOMME EDP INTENSE X 100 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"271.500,00",
8435415102711,SCANDAL POUR HOMME EDP INTENSE X 50 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"230.500,00",
8435415102681,SCANDAL WOMAN EDP INTENSE X 30 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"190.000,00",
8435415102698,SCANDAL WOMAN EDP INTENSE X 50 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"245.000,00",
8435415102704,SCANDAL WOMAN EDP INTENSE X 80 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"290.000,00",
8435415076838,DIVINE EDP X 100 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"290.000,00","232.000,00"
8435415077576,DIVINE EDP X 100 ml + TUBO X 10 ml RECARGABLE,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"290.000,00",
8435415082686,DIVINE EDP X 200 ml RECARGA,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"343.000,00","240.100,00"
8435415076814,DIVINE EDP X 30 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"190.000,00",
8435415091169,DIVINE LE PARFUM X 100 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"320.000,00",
8435415091145,DIVINE LE PARFUM X 30 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"205.300,00",
8435415091152,DIVINE LE PARFUM X 50 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"263.500,00",
8435415102483,LA BELLE FLOWER EDITION EDP X 100 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"191.500,00",
8435415091251,LA BELLE PARADISE GARDEN EDP X 100 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"296.500,00",
8435415091268,LA BELLE PARADISE GARDEN EDP X 50 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"245.000,00",
8435415091190,LA BELLE PARADISE GARDEN X 30 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"190.300,00",
8435415115025,LA BELLE ROSEA EDP X 100 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"302.500,00",
8435415062190,LE BEAU LE PARFUM EDP INTENSE X 125 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"281.400,00",
8435415062213,LE BEAU LE PARFUM EDP INTENSE X 75 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"238.400,00",
8435415102537,LE BEAU FLOWER EDITION EDP X 125 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"196.000,00",
8435415091275,LE BEAU PARADISE GARDEN EDP X 125 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"268.000,00",
8435415091244,LE BEAU PARADISE GARDEN EDP X 75 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"228.300,00",
8435415017206,LE BEAU EDT X 125 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"245.000,00",
8435415102346,LE MALE ELIXIR ABSOLU PARFUM INTENSE X 125 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"315.000,00",
8435415102339,LE MALE ELIXIR ABSOLU PARFUM INTENSE X 75 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"265.600,00",
8435415076944,LE MALE ELIXIR PARFUM X 125 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"285.000,00",
8435415076906,LE MALE ELIXIR PARFUM X 200 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"555.000,00","333.000,00"
8435415076937,LE MALE ELIXIR PARFUM X 75 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"242.000,00",
8435415114363,LE MALE IN BLUE EDP X 125 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"250.000,00",
8435415032315,LE MALE LE PARFUM INTENSE EDP X 125 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"261.500,00",
8435415103107,LE MALE EDT X 125 ml + GEL DUCHA,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"261.500,00",
8435415012669,LE MALE EDT X 125 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"238.000,00",
8435415012638,LE MALE EDT X 75 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"165.000,00",
8435415059084,SCANDAL WOMAN EDP X 30 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"174.500,00",
8435415050777,SCANDAL WOMAN LE PARFUM X 30 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"192.500,00",
8435415050760,SCANDAL WOMAN LE PARFUM X 80 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"299.500,00",
8435415011341,CLASIQUE EDT X 100 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"250.600,00",
8435415011310,CLASIQUE EDT X 50 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"160.000,00",
8435415049542,LA BELLE LE PARFUM INTENSE EDP X 100 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"296.500,00",
8435415049436,LA BELLE LE PARFUM INTENSE EDP X 30 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"190.300,00",
